text,label
"Hà Nội hôm nay lạnh muốn chết với tôi. Vì có việc nên tôi phải đi từ Hà Đông lên phố từ sáng sớm. Sau đó, tôi quyết định đến một địa điểm khá nổi tiếng bán món Bún Đậu Mắm Tôm này trên phố Đặng Thái Thân.
Cảm nhận của tôi là quán quá đông. Mọi người phải lấy số và xếp hàng chờ tới lượt, trong khi chỉ có 2 người làm nên thời gian chờ khá lâu. Chính vì quá đông nên thực khách không thể tự pha nước chấm theo khẩu vị cá nhân. Đối với tôi, nước chấm chú cho nhiều quất quá hơi bị chua, nên bảo trước cháu tự vắt quất. Hàng bán hết rất nhanh, nên bạn cũng sẽ không thể gọi thêm thịt hay nội tạng, giò chả nhiều hơn khẩu phần gốc, mà chỉ có thể gọi thêm đậu phụ chiên thôi.
Nhưng đừng lo, khẩu phần ở đây rất nhiều, miếng cắt cũng to, tất cả đều là đồ tự làm và rất ngon. Chúng tôi phải cố gắng lắm mới ăn hết. Đặc biệt là món dồi và tim, ra quán lòng gọi chỗ này chắc cx 50-60k. Nếu có việc tiện đi ngang qua thì chắc chắn sẽ ghé lại, bị mỗi cái quá xa nhà. 
Trong ảnh là khẩu phần cho 2 người, thêm 10k đậu phụ chiên, tổng cộng 100k. Quá rẻ so với định lượng",2
"Bánh cuốn Song Phương – 64C Đội Cấn: ăn rồi thì thôi, cũng ổn
Bánh cuốn Song Phương ở 64C Đội Cấn nghe danh thì nhiều drama, nhưng tò mò vẫn ra ăn thử xem thực hư thế nào. Quán bán khá đa dạng: bánh cuốn chả quế, chả viên, bánh cuốn trứng, kèm thêm mấy món kiểu gà tần, chim quay cho ngày lạnh.
Mình ăn 2 lần, cảm nhận chung là chất lượng ổn. Bánh cuốn tráng mỏng, mướt, không bị khô hay nát. Nhân thịt thơm, nêm vừa tay. Nước chấm pha nhẹ, không gắt, ăn rất đưa miệng.
Gọi thêm 1 suất bánh cuốn trứng, thấy trứng và nhân khá nhiều, ăn đậm đà hơn. Tổng thể 80k bữa ăn gồm 2 suất chả quế + 1 suất trứng, ngồi ngày đông thấy hợp lý, đủ ấm bụng.
Thôi thì drama để bên ngoài, còn đồ ăn ở đây với mình là ăn được, ổn định, không có gì phải lăn tăn nếu muốn tìm một quán bánh cuốn nóng cho ngày lạnh Hà Nội. #ăn_uống_là_phải_tử_tế #bản_đồ_ẩm_thực_Việt_Nam",0
"Pi thái hủ tiếu Thái Lan - không bao giờ quay lại
Lần đầu trải nghiệm ăn thử hủ tiếu ở đây xem khác gì so với hủ tiếu bình thường. Chưa bao giờ thấy đồ ăn lại tồi đến như này. Mình ăn bát 80k tomyum mà đc 1/2 quả trứng lòng đào, 1 con tôm bé như ngón tay út, 1 miếng mực bé xíu, bé lắm luôn ấy - màu trắng nhỏ xíu góc bát đó ạ, tôm mực lại còn ko tươi. Khác hẳn so với hình ảnh quảng cáo và các bài đăng 5 sao đánh giá trên page. Nhìn hình đã chán, mà cái nước dùng còn chán hơn, như vị của gói gia vị mì tôm chua cay.
Làm ăn ko có tâm, nói 80k ko to, nhưng cũng ko bé đến mức nhận cái bát đồ ăn như này",0
"Pi thái hủ tiếu Thái Lan - không bao giờ quay lại
Lần đầu trải nghiệm ăn thử hủ tiếu ở đây xem khác gì so với hủ tiếu bình thường. Chưa bao giờ thấy đồ ăn lại tồi đến như này. Mình ăn bát 80k tomyum mà đc 1/2 quả trứng lòng đào, 1 con tôm bé như ngón tay út, 1 miếng mực bé xíu, bé lắm luôn ấy - màu trắng nhỏ xíu góc bát đó ạ, tôm mực lại còn ko tươi. Khác hẳn so với hình ảnh quảng cáo và các bài đăng 5 sao đánh giá trên page. Nhìn hình đã chán, mà cái nước dùng còn chán hơn, … See more",0
"Hà Nội hôm nay lạnh muốn chết với tôi. Vì có việc nên tôi phải đi từ Hà Đông lên phố từ sáng sớm. Sau đó, tôi quyết định đến một địa điểm khá nổi tiếng bán món Bún Đậu Mắm Tôm này trên phố Đặng Thái Thân.
Cảm nhận của tôi là quán quá đông. Mọi người phải lấy số và xếp hàng chờ tới lượt, trong khi chỉ có 2 người làm nên thời gian chờ khá lâu. Chính vì quá đông nên thực khách không thể tự pha nước chấm theo khẩu vị cá nhân. Đối với tôi, nước chấm chú cho nhiều quất quá hơi bị … See more",0
"Mỗi người một trải nhiệm thôi, k thể vì trải nhiệm của người này k tốt mà đánh giá tiệm là làm ăn k tốt dc. Mình chỉ là khách hàng, ko quen biết gì tiệm nhé, nhưng mình đặt ở đây đến chục lần rồi mà chưa lần nào phải phàn nàn gì hết. Lần nào gửi mẫu tiệm cũng dặn trc là chỉ làm dc đến 70% nhưng nhận về mẫu nào cũng ok. Nên sn con, cháu, ông bà hay bạn mà cần mấy mẫu lạ mình cũng đặt ở đây. Hoan hỉ ạ",0
"Nhà này bột vẫn hơn hẳn, bột mềm, mướt, ko chua. Còn định lượng 1 đĩa bánh thì quán này vẫn thế, ai ăn khoẻ thì 1người/2 đĩa. Bánh ít nhưng nhân thịt mộc nhĩ đầy đặn, ko bị độn mộc nhĩ đâu, hành tự phi. Mắm nhạt thì thêm mắm cốt vào thôi bạn, hàng này thâm niên bao năm rồi, nhiều nhà hai thế hệ ăn ở đây. Với mình thì nó vẫn là top nhưng quán ngon",2
"Điều tối thiểu khi khách đặt bánh có kim tuyến là sẽ k viết được chữ lên vì sẽ bị trôi chữ ấy =)))) nhg shop k hề báo với khách. Có sự thay đổi cũng k báo lại với khách. Có thể đổi cho khách sang bánh khác nhưng vẫn mẫu đấy, khách có thể chọn vẫn có kim tuyến mà viết chữ ở khay, hoặc là đổi sang giấy đốt để viết lên mặt mà. Cách xử lý quá tệ lun",0
"Bún đậu mắm tôm nhưng mắm tôm nhà này ăn vừa nhạt vừa chua + cay xè lưỡi. Được cái suất đầy đặn còn có tim (lượng tim 1 phần thì gan phải 5 phần, gan vừa dày vừa nhiều
), nhưng ngồi vỉa hè mà phía bên gốc cây nó khai thôi nhé cuộc đời luôn, mà chỗ phía gần cô chú thì hay hết chỗ. Nói chung là mua về thì được chứ ngồi lại không ổn lắm",0
"vấn đề 1 là shop sai vì không báo về việc viết chữ ,vấn đề 2 là bạn tìm ảnh chiếc bánh rắc kim tuyến chứ không hề đòi hỏi(đốt ra chữ,đốt dc....) và nếu bánh đốt thì chỉ có mặt giấy chứ không thể làm có chữ ở mặt nữa ,vấn đề cuối shop sai vì làm ăn thiếu trách nhiệm còn bạn quá mơ tưởng.Còn hình bánh chỉ thiếu mỗi chữ k khác gì!!!!!!",0
